temp;Hora;1lasttemp;2lasttemp;3lasttemp;4lasttemp;5lasttemp;Temp;feelLike;tempMin;tempMax
18.6;324;18.6;18.6;18.6;18.6;18.6;11;9;9;12
18.6;324;18.6;18.6;18.6;18.6;18.6;11;9;9;12
18.6;324;18.6;18.6;18.6;18.6;18.6;11;9;9;12
18.7;324;18.6;18.6;18.6;18.6;18.6;11;9;9;12
18.7;361;18.7;18.6;18.6;18.6;18.6;11;9;9;12
18.7;361;18.7;18.7;18.6;18.6;18.6;11;9;9;12
18.7;361;18.7;18.7;18.7;18.6;18.6;11;9;9;12
18.8;361;18.7;18.7;18.7;18.7;18.6;11;9;9;12
18.8;361;18.8;18.7;18.7;18.7;18.7;11;9;9;12
18.7;361;18.8;18.8;18.7;18.7;18.7;11;9;9;12
18.7;361;18.7;18.8;18.8;18.7;18.7;11;9;9;12
18.8;361;18.7;18.7;18.8;18.8;18.7;11;9;9;12
18.8;361;18.8;18.7;18.7;18.8;18.8;11;9;9;12
18.8;361;18.8;18.8;18.7;18.7;18.8;11;9;9;12
19.7;361;18.8;18.8;18.8;18.7;18.7;11;9;9;11
19.3;361;19.7;18.8;18.8;18.8;18.7;11;9;9;11
19;361;19.3;19.7;18.8;18.8;18.8;10;9;9;12
18.9;361;19;19.3;19.7;18.8;18.8;10;9;9;12
19;361;18.9;19;19.3;19.7;18.8;10;9;9;12
18.8;361;19;18.9;19;19.3;19.7;10;9;9;12
18.7;361;18.8;19;18.9;19;19.3;10;9;9;12
18.6;361;18.7;18.8;19;18.9;19;10;9;9;12
18.4;361;18.6;18.7;18.8;19;18.9;10;9;9;12
18.3;400;18.4;18.6;18.7;18.8;19;10;9;9;12
18.2;400;18.3;18.4;18.6;18.7;18.8;10;9;9;12
18;400;18.2;18.3;18.4;18.6;18.7;10;9;9;11
18;400;18;18.2;18.3;18.4;18.6;10;9;9;11
17.9;400;18;18;18.2;18.3;18.4;10;9;9;11
17.8;400;17.9;18;18;18.2;18.3;10;8;9;11
17.7;400;17.8;17.9;18;18;18.2;10;9;8;11
17.5;400;17.7;17.8;17.9;18;18;10;9;8;11
17.5;400;17.5;17.7;17.8;17.9;18;10;9;8;11
17.4;400;17.5;17.5;17.7;17.8;17.9;10;9;8;11
17.3;400;17.4;17.5;17.5;17.7;17.8;10;8;8;11
17.3;400;17.3;17.4;17.5;17.5;17.7;10;8;8;11
17.3;441;17.3;17.3;17.4;17.5;17.5;10;8;8;11
17.2;441;17.3;17.3;17.3;17.4;17.5;10;8;8;11
17.2;441;17.2;17.3;17.3;17.3;17.4;10;8;8;11
17.2;441;17.2;17.2;17.3;17.3;17.3;10;8;7;11
17.1;441;17.2;17.2;17.2;17.3;17.3;10;8;7;11
17.1;441;17.1;17.2;17.2;17.2;17.3;10;8;7;11
17.1;441;17.1;17.1;17.2;17.2;17.2;10;8;7;11
17.1;441;17.1;17.1;17.1;17.2;17.2;10;8;7;11
17;441;17.1;17.1;17.1;17.1;17.2;10;9;7;11
16.9;441;17;17.1;17.1;17.1;17.1;10;9;7;11
16.9;441;16.9;17;17.1;17.1;17.1;9;8;7;11
16.9;441;16.9;16.9;17;17.1;17.1;9;8;8;11
16.9;441;16.9;16.9;16.9;17;17.1;9;8;8;11
16.9;484;16.9;16.9;16.9;16.9;17;9;8;8;11
16.8;484;16.9;16.9;16.9;16.9;16.9;9;7;7;11
16.8;484;16.8;16.9;16.9;16.9;16.9;9;8;7;11
16.8;484;16.8;16.8;16.9;16.9;16.9;9;7;7;11
16.8;484;16.8;16.8;16.8;16.9;16.9;9;7;6;11
16.7;484;16.8;16.8;16.8;16.8;16.9;9;8;6;11
16.7;484;16.7;16.8;16.8;16.8;16.8;9;8;6;11
16.7;484;16.7;16.7;16.8;16.8;16.8;9;8;7;10
16.7;484;16.7;16.7;16.7;16.8;16.8;9;8;7;10
16.7;484;16.7;16.7;16.7;16.7;16.8;9;8;7;10
16.7;484;16.7;16.7;16.7;16.7;16.7;9;7;7;10
16.6;484;16.7;16.7;16.7;16.7;16.7;9;8;7;10
16.6;529;16.6;16.7;16.7;16.7;16.7;9;8;6;10
16.6;529;16.6;16.6;16.7;16.7;16.7;9;9;6;10
16.6;529;16.6;16.6;16.6;16.7;16.7;9;9;6;10
16.6;529;16.6;16.6;16.6;16.6;16.7;9;9;6;10
